,dG_mean,dG_stdev
0,1.3725399980060755,3.45730788847068
1,1.5276699943672865,3.4641006007332895
2,1.4251699898745864,3.317446043865049
3,1.5215699958149345,3.4136378983330324
4,1.3028199916947634,3.4825044804654564
5,1.5937999923173338,3.445110507431153
6,1.4293899902664124,3.479939485675475
7,1.4837399913594127,3.383472198684537
8,1.5555899934973567,3.240005691375544
9,1.2155999915059656,3.364280094699184
10,1.4171599934399128,3.513717372326058
11,1.351489997362718,3.521735846324464
12,1.2901299925055354,3.5150785764365953
13,1.673419994469732,3.4265632337243406
14,1.5148299915250392,3.3006153139696224
15,1.4050799952708184,3.5273561014323125
16,1.5241499938443304,3.4596130372032223
17,1.3924999913573266,3.3937021126521425
18,1.4282499975673855,3.440798991005818
19,1.3674399941451847,3.405232874323097
20,1.5937199915759266,3.5614249107941816
21,1.3457399935498833,3.4745200384700032
22,1.5198899932950736,3.395898288990926
23,1.4473399946969003,3.4634797779106323
24,1.4993699945379049,3.5305216930045575
25,1.387819989454001,3.518156229282688
26,1.5309999901484699,3.4971617986110655
27,1.5208999898284674,3.440916596840081
28,1.4457099984437227,3.457367577662869
29,1.7135299955047667,3.305744380060545
30,1.5323799918554724,3.447154504541214
31,1.2609499913882465,3.390652011430076
32,1.6201699966471643,3.3379367484024702
33,1.5579799914099277,3.38436760850611
34,1.5270699963178485,3.382103522635228
35,1.5758099926933646,3.4610388084570394
36,1.5437799894474447,3.5420956440371247
37,1.4566899931859225,3.318031672996703
38,1.4780899887103587,3.455606571875818
39,1.3271999929416924,3.4464462615242204
40,1.4302899905461819,3.468361758227056
41,1.5509799981564283,3.256308753383307
42,1.5783399995826184,3.3216052593755707
43,1.3544899938944728,3.509279588934485
44,1.5134299901220947,3.3402813634933204
45,1.5717799903266132,3.3454433387850377
46,1.461609996344894,3.4598264419939095
47,1.4555199952423572,3.2973266742315337
48,1.3912399880588056,3.4378006578569846
49,1.6482399949468671,3.4134614033010666
50,1.4864199906773865,3.4945213462368017
51,1.6505199913922697,3.336532872277078
52,1.28252999227494,3.4784236319201045
53,1.3239099891912192,3.5036890052706857
54,1.4634199927877636,3.431530295282405
55,1.5489599971789867,3.486905094119973
56,1.4413299881108106,3.508125116658869
57,1.5482199910916388,3.452900149734198
58,1.4324299918543548,3.34718437502092
59,1.6017599870450794,3.497985954949023
60,1.508539993142709,3.4199348823180586
61,1.4590199971795081,3.4529468996972303
62,1.3337599940374494,3.504306059396033
63,1.4213299924675376,3.4298761098418358
64,1.422919987220317,3.473975874368868
65,1.3471799924001098,3.3647268643011725
66,1.3709299935139716,3.467126493303623
67,1.5840499906223267,3.462744856116264
68,1.399829991389066,3.4575350967935554
69,1.3107799924742431,3.4604811610171518
70,1.4628899930752814,3.366329811381169
71,1.6704499970674516,3.360242437313144
72,1.466989990323782,3.4547612241785934
73,1.322719997588545,3.547152167935041
74,1.5565899904053657,3.4371941877679952
